id,324a1,324a2,324a3,324a4,324a5,324a6,324a7,324a8,324a9,324a10,324a11,324a12,324a13,324a14,324a15,324a16,324a17,324a18,324a19,324a20,324a21,324a22,324a23,324a24,324a25,324a26,324a27,324a28,324a29,324a30,324a31,324a32,324a33,324a34,324a35,324a36,324a37,324a38,324a39,324a40,324a41,324a42,324a43,324a44,324a45
momid,m9,m9,m12,m12,m13,m9,m9,m9,m9,m4,m4,a1,a1,a1,a1,a2,a1,a1,a5,a5,a5,a5,a5,a5,a6,a5,a5,a5,a5,a3,a5,a1,a1,a4,a4,a4,a3,a7,a11,a11,a3,m9,m9,m9,m1
dob,39544,39544,39582,39582,39582,39588,39588,39598,39598,39604,39604,39612,39612,39612,39612,39620,39622,39622,39644,39644,39644,39644,39644,39644,39648,39648,39648,39648,39648,39652,39652,39660,39660,39666,39666,39666,39670,39670,39670,39670,39672,39674,39674,39674,39676
vial,324a1,324a2,324a1,324a2,324a3,324a1,324a2,324a1,324a2,324a1,324a3,324a3,324a4,324a5,324a6,324a3,324a4,324a5,324a4,324a1,324a2,324a4,324a7,324a8,324a8,324a9,324a10,324a11,324a12,324a3,324a9,324a9,324a10,324a9,324a10,324a11,324a1,324a5,324a9,324a12,324a3,324a1,324a4,324a11,324a1
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,2.35,2.5,2.45,2.35,2.25,1.95,2,2.35,2.4,2.5,2.3,2.1,1.9,2.05,2,2.15,2.3,2.3,1.85,1.8,1.75,1.85,1.8,1.8,2.2,2.3,2.35,2.3,2.35,2.15,1.9,1.7,1.9,2.4,2.35,2.25,2.05,2.25,2.3,2.3,1.95,2.1,2.15,2.15,2.3
3,2.85,2.9,-1,-1,2.45,2.1,-1,2.45,2.7,3.1,2.4,2.1,2,2.1,-1,3,3.3,3.75,2,2.45,3,2.8,2.7,2.1,2.4,2.35,3.65,3.6,3.4,2.6,2.85,-1,2.55,2.7,2.7,-1,2.45,2.7,2.55,2.45,1.95,-1,3.15,3.45,2.6
5,2.9,4.15,,,2.65,-1,,-1,3,3.55,-1,-1,-1,-1,,3.45,3.95,4.3,-1,2.9,3.75,3.15,3.2,-1,2.6,-1,5.2,4.2,4.2,4,3.8,,-1,-1,3.1,,-1,3.9,3.4,-1,-1,,3.75,4.3,2.9
7,-1,5.1,,,3.1,,,,3.5,5.3,,,,,,4.9,4.65,5.2,,3.15,5.25,4.3,4.1,,3.4,,5.55,4.9,5.1,4.95,-1,,,,3.95,,,4.55,3.8,,,,4.5,5.15,4.2
9,,5.9,,,4.15,,,,4.05,6.05,,,,,,5.85,5.9,5.9,,4.15,6.2,4.8,4.65,,3.85,,5.65,5.4,5.85,5.65,,,,,4.35,,,5.1,4.45,,,,5.7,5.75,4.85
11,,6.3,,,4.6,,,,5.1,6.8,,,,,,5.7,5.7,6.5,,4.9,6.6,5.6,5.05,,3.85,,6.35,6.1,6.3,6.2,,,,,4.5,,,5.6,5.7,,,,5.6,6.1,5.5
