id,413a1,413a2,413a3,413a4,413a5,413a6,413a7,413a8,413a9,413a10,413a11,413a12,413a13,413a14,413a15,413a16,413a17,413a18,413a19,413a20,413a21,413a22,413a23,413a24,413a25,413a26,413a27,413a28,413a29,413a30,413a31,413a32,413a33,413a34,413a35,413a36,413a37,413a38,413a39,413a40,413a41,413a42,413a43,413a44,413a45,413a46,413a47,413a48,413a49,413a50,413a51,413a52,413a53
momid,m10,m10,m19,m5,a1,a3,a2,a2,m10,m3,m9,m9,m18,m13,a6,a2,a3,a3,a4,a4,a4,a4,a4,a4,a4,a4,a4,a4,m12,a4,a4,a4,a1,a1,a2,a2,a2,a2,m6,m2,m6,m10,m10,a4,a1,a1,a1,m7,m7,m3,m3,413a50,413a51
dob,39548,39548,39552,39564,39572,39582,39588,39588,39590,39596,39596,39596,39596,39596,39608,39630,39632,39634,39642,39642,39642,39644,39644,39644,39644,39644,39644,39644,39646,39648,39648,39648,39652,39652,39654,39654,39654,39654,39672,39676,39676,39676,39676,39702,39708,39714,39714,39714,39714,39718,39718,39738,39738
vial,413a1,413a2,413a1,413a3,413a1,413a3,413a1,413a3,413a2,413a1,413a3,413a4,413a5,413a6,413a5,413a6,413a2,413a2,413a1,413a3,413a5,413a6,413a7,413a8,413a9,413a10,413a11,413a12,413a9,413a7,413a11,413a12,413a4,413a5,413a6,413a8,413a10,413a12,413a1,413a2,413a3,413a4,413a5,413a3,413a3,413a5,413a6,413a8,413a9,413a6,413a7,413a8,413a9
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,0,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-2,0,-1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,,0,0,0,0,-1,-1,0,,0,-1,-1,0,0,0,-1,-1,,-2,,,,0,-2,0,0,-1,-1,0,0,-1,0,0,0,0,,
9,,0,0,0,0,,-1,,0,0,0,0,-1,4,0,0,,0,0,0,0,,,0,,-1,,,0,0,,,,,,,,,0,,0,0,,,0,0,,0,-1,0,0,,
11,,0,0,2,0,,,,0,0,0,0,,0,3,0,,0,2,0,-1,,,-1,,,,,1,2,,,,,,,,,4,,3,3,,,0,0,,0,,0,2,,
13,,0,2,5,0,,,,0,0,0,2,,5,0,0,,2,0,2,,,,,,,,,1,-1,,,,,,,,,5,,3,2,,,0,0,,0,,0,4,,
15,,3,0,1,0,,,,3,0,3,2,,4,2,-1,,3,3,4,,,,,,,,,3,,,,,,,,,,4,,3,0,,,0,0,,4,,0,0,,
17,,4,4,8,-1,,,,4,5,4,4,,4,4,,,0,3,4,,,,,,,,,-1,,,,,,,,,,5,,2,5,,,0,5,,6,,0,6,,
19,,7,3,9,,,,,0,3,5,5,,7,4,,,2,0,0,,,,,,,,,,,,,,,,,,,0,,4,2,,,0,-1,,4,,3,4,,
