id,711a1,711a2,711a3,711a4,711a5,711a6,711a7,711a8,711a9,711a10,711a11,711a12,711a13,711a14,711a15,711a16,711a17,711a18,711a19,711a20,711a21,711a22,711a23,711a24,711a25,711a26,711a27,711a28,711a29,711a30,711a31,711a32,711a33,711a34,711a35,711a36,711a37,711a38,711a39,711a40,711a41
momid,m5,m12,m4,a2,a2,a2,a2,a5,a1,a1,a6,a5,a5,a3,a3,a5,a5,a4,a4,a1,a1,a1,a4,a4,a4,a1,a1,a8,a8,a8,a8,a8,a1,a1,a4,a8,m10,m6,m6,m2,m3
dob,39582,39582,39582,39598,39598,39598,39604,39614,39620,39620,39632,39638,39640,39644,39644,39648,39648,39648,39648,39654,39660,39660,39660,39660,39660,39666,39666,39672,39672,39672,39674,39674,39676,39676,39680,39680,39712,39714,39714,39720,39720
vial,711a1,711a2,711a3,711a4,711a5,711a6,711a1,711a4,711a3,711a5,711a6,711a6,711a1,711a8,711a11,711a2,711a9,711a10,711a12,711a3,711a2,711a7,711a10,711a11,711a12,711a2,711a4,711a5,711a6,711a7,711a6,711a10,711a9,711a12,711a5,711a6,711a1,711a11,711a13,711a1,711a14
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,2.4,2.45,2.45,2.45,2.1,2.3,2.3,2.3,2.4,2.4,1.95,2.2,2.3,2.2,2.3,2.35,2.2,1.9,1.9,2.35,2.3,2.4,2.25,2.25,2.2,2.4,2.35,2.25,2.35,2.35,1.95,2.15,2.25,2.35,2.3,2.35,2.15,2.25,2.4,2.3,2.3
3,3.6,2.75,2.8,2.7,2.4,2.55,2.65,4.9,4.1,2.9,1.95,2.5,2.6,2.6,2.55,2.7,2.4,-1,2.5,3.65,2.5,3.5,2.35,2.6,2.45,3.5,3.4,2.45,-1,3.4,2.4,2.6,2.7,2.7,2.6,2.9,2.2,2.7,4,2.8,2.85
5,4.1,2.95,3.6,-1,3.85,3.15,3.7,4.25,5.1,4.3,-1,3.55,3,4,3.75,3.15,2.7,,2.95,4,-1,-1,2.6,3.85,2.95,4.15,3.95,-1,,3.7,-1,2.65,3.6,3.65,3.55,3,-1,3.6,4.85,3.4,3.9
7,5.5,4.35,4.3,,5,4.4,4.35,5.4,6.1,5.2,,4.05,4.2,4.8,4.4,4.8,3.25,,-1,4.6,,,2.65,4.35,-1,5.6,4.5,,,-1,,-1,4.05,4.25,4.15,4.1,,4.15,5.2,4.25,4.9
9,6.3,4.8,5.8,,5.5,4.9,4.9,6.2,6.7,5.8,,4.85,4.8,5.5,5.45,5.25,4.3,,,5.3,,,-1,5,,5.75,5.7,,,,,,4.6,5,5.05,4.35,,5,5.6,5.6,5.4
11,5.95,5.5,5.85,,5.6,5.4,5.4,6.7,7.3,6.4,,5.7,5.3,6.1,-1,-1,4.9,,,5.85,,,,6,,5.85,5.6,,,,,,4.9,5.35,5.45,4.45,,5.5,5.2,5.55,5.8
