id,715a1,715a2,715a3,715a4,715a5,715a6,715a7,715a8,715a9,715a10,715a11,715a12,715a13,715a14,715a15,715a16,715a17,715a18,715a19,715a20,715a21,715a22,715a23,715a24,715a25,715a26,715a27,715a28,715a29,715a30,715a31,715a32,715a33,715a34,715a35,715a36,715a37,715a38,715a39
momid,m17,m17,715a2,m15,m15,a2,m15,a2,a2,m14,m14,a2,a4,a5,a5,a6,a6,a6,a6,a6,a6,a1,a5,a5,a4,a9,a2,a5,a5,a5,a5,a1,a9,a9,a9,a4,a5,m3,a7
dob,39544,39544,39562,39582,39582,39590,39596,39600,39600,39604,39604,39606,39632,39634,39636,39644,39644,39644,39644,39644,39644,39646,39648,39648,39654,39658,39660,39670,39670,39670,39670,39676,39676,39676,39676,39678,39680,39708,39720
vial,715a1,715a2,715a3,715a1,715a2,715a3,715a1,715a5,715a6,715a3,715a4,715a6,715a4,715a4,715a2,715a2,715a7,715a9,715a10,715a11,715a12,715a10,715a1,715a8,715a5,715a8,715a10,715a2,715a3,715a10,715a12,715a6,715a7,715a10,715a11,715a12,715a1,715a7,715a3
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,,0,-1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0
9,0,0,4,0,4,-1,0,0,-1,0,0,1,,0,,0,0,0,,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,3,,0,,,0,0
11,0,2,0,0,0,,2,0,,0,0,3,,2,,0,0,0,,0,0,2,0,0,3,0,,0,4,,,2,0,,0,,,1,4
13,4,0,4,-1,3,,0,5,,5,4,5,,4,,0,2,5,,0,4,5,0,-1,0,0,,2,0,,,4,0,,1,,,3,0
15,0,3,5,,4,,0,7,,4,3,5,,0,,0,0,3,,2,6,-1,2,,4,1,,3,5,,,0,0,,1,,,0,3
17,7,3,7,,4,,3,1,,7,0,8,,5,,2,4,3,,2,0,,3,,4,1,,4,3,,,3,3,,1,,,4,4
19,5,4,0,,5,,2,6,,0,4,0,,6,,3,5,6,,0,5,,4,,3,2,,0,6,,,1,2,,1,,,0,4
21,4,6,5,,0,,-1,5,,7,4,8,,8,,0,5,0,,1,5,,0,,0,3,,4,0,,,3,5,,0,,,3,0
