id,715a1,715a2,715a3,715a4,715a5,715a6,715a7,715a8,715a9,715a10,715a11,715a12,715a13,715a14,715a15,715a16,715a17,715a18,715a19,715a20,715a21,715a22,715a23,715a24,715a25,715a26,715a27,715a28,715a29,715a30,715a31,715a32,715a33,715a34,715a35,715a36,715a37,715a38,715a39
momid,m17,m17,715a2,m15,m15,a2,m15,a2,a2,m14,m14,a2,a4,a5,a5,a6,a6,a6,a6,a6,a6,a1,a5,a5,a4,a9,a2,a5,a5,a5,a5,a1,a9,a9,a9,a4,a5,m3,a7
dob,39544,39544,39562,39582,39582,39590,39596,39600,39600,39604,39604,39606,39632,39634,39636,39644,39644,39644,39644,39644,39644,39646,39648,39648,39654,39658,39660,39670,39670,39670,39670,39676,39676,39676,39676,39678,39680,39708,39720
vial,715a1,715a2,715a3,715a1,715a2,715a3,715a1,715a5,715a6,715a3,715a4,715a6,715a4,715a4,715a2,715a2,715a7,715a9,715a10,715a11,715a12,715a10,715a1,715a8,715a5,715a8,715a10,715a2,715a3,715a10,715a12,715a6,715a7,715a10,715a11,715a12,715a1,715a7,715a3
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1,2.05,2.35,2.3,2.25,2.2,2.1,2.25,2.25,2.15,2.35,2.35,2.25,1.9,2.1,1.95,1.9,2.1,2.15,2.15,2.05,2.15,2.15,2.1,2.1,2.2,2.2,2.3,2.3,2.25,2.3,2.25,1.8,2.1,2.1,2.15,2.25,1.75,2.2,1.85
3,2.45,2.65,3.35,2.75,3.3,2.25,2.85,2.5,2.8,3.05,2.95,3.25,-1,2.55,2,2.2,2.25,2.45,-1,2.2,2.3,2.45,2.35,2.35,2.5,2.4,2.45,2.5,3,2.45,2.35,2.45,3.2,2.5,2.7,2.45,2.55,2.95,2.6
5,2.55,3.05,4.1,3.05,3.85,2.1,3.5,2.9,4.3,3.8,3.2,3.7,,3.75,-1,2.3,3.3,3.75,,2.3,3.55,3.75,2.85,2.4,2.85,3.1,2.6,3.45,3.3,2.4,2.5,2.8,3.6,-1,3.1,-1,-1,3.4,2.95
7,3.5,4.2,5.4,3.5,5,-1,5.05,4.2,-1,4.2,3.9,4.4,,4.6,,2.5,3.65,4.15,,3.1,4.2,4.5,3.3,2.6,3.65,3.9,-1,3.75,4.1,-1,-1,4.1,4.9,,3.85,,,4.45,4.25
9,3.8,4.65,5.3,3.65,5.75,,5.3,4.9,,4.9,3.95,4.9,,5.15,,3.05,4.4,5.2,,3.9,4.8,4.5,4.15,2.65,5,4.1,,4.3,5.4,,,4.9,5,,4.4,,,4.85,5
11,5.1,5.2,5.95,-1,5.7,,5.4,5.5,,5.65,5.05,5.7,,5.95,,3.4,5.05,5.3,,4.25,5.5,5.15,4.6,-1,5.55,4.4,,5,5.25,,,5.5,5.25,,4.7,,,5.25,5.4
