id,725a1,725a2,725a3,725a4,725a5,725a6,725a7,725a8,725a9,725a10,725a11,725a12,725a13,725a14,725a15,725a16,725a17,725a18,725a19,725a20,725a21,725a22,725a23,725a24,725a25,725a26,725a27,725a28,725a29,725a30,725a31,725a32,725a33,725a34,725a35,725a36,725a37,725a38,725a39,725a40,725a41,725a42,725a43,725a44,725a45
momid,m3,m3,m11,725a1,a2,a1,m2,m3,m3,m2,a1,a1,a1,a1,a1,m1,a5,a5,a3,a6,a6,a6,a6,a2,a2,a5,a6,a8,a9,a5,a5,a9,a9,a9,a1,a1,a8,a8,a4,a4,a6,a9,a8,a5,m6
dob,39544,39544,39564,39568,39582,39588,39590,39598,39598,39598,39606,39614,39614,39614,39614,39644,39644,39644,39646,39646,39646,39646,39646,39650,39652,39658,39658,39658,39660,39662,39662,39666,39666,39668,39672,39672,39676,39676,39678,39678,39678,39680,39682,39710,39714
vial,725a1,725a2,725a3,725a3,725a3,725a3,725a2,725a1,725a2,725a3,725a3,725a1,725a4,725a5,725a6,725a1,725a7,725a8,725a3,725a9,725a10,725a11,725a12,725a8,725a2,725a2,725a6,725a7,725a6,725a3,725a4,725a4,725a12,725a7,725a3,725a7,725a5,725a7,725a1,725a2,725a12,725a3,725a6,725a5,725a13
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,-1,,-1,,-1,0,0,,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,,-1,0,0,-1,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0
9,0,0,,,,,,1,0,,,0,0,0,0,3,0,,0,0,0,0,0,2,,0,,,0,0,,0,0,,-1,,2,0,0,0,,0,0,0,0
11,0,2,,,,,,6,4,,,3,3,5,4,5,4,,1,6,4,0,0,3,,0,,,0,0,,2,-1,,,,4,3,0,0,,0,-2,0,1
