id,815a1,815a2,815a3,815a4,815a5,815a6,815a7,815a8,815a9,815a10,815a11,815a12,815a13,815a14,815a15,815a16,815a17,815a18,815a19,815a20,815a21,815a22,815a23,815a24,815a25,815a26
momid,m10,m10,815a1,815a1,m15,a2,m20,m20,m20,a2,a2,a3,a6,a4,a4,a4,a2,a2,a2,a2,a2,a6,a6,a2,a6,a2
dob,39544,39544,39552,39564,39584,39590,39596,39596,39596,39598,39604,39612,39614,39616,39620,39622,39640,39644,39644,39644,39644,39648,39648,39648,39648,39648
vial,815a1,815a2,815a2,815a3,815a1,815a1,815a1,815a4,815a5,815a6,815a4,815a2,815a1,815a2,815a2,815a3,815a5,815a7,815a8,815a10,815a12,815a7,815a8,815a9,815a10,815a11
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0,0,0
7,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,-1,-1,-1,3.1,0,0,0,0,0
9,4,-1,0,1,-1,,0,,6,0,0,,3,,0,4,0,,,,3.35,,,,,
11,4,,0,3,,,3,,0,0,3,,3,,0,0,3,,,,4.95,,,,,
13,0,,4,5,,,0,,6,0,6,,4,,4,4,4,,,,,,,,,
15,6,,4,4,,,0,,7,0,6,,0,,4,4,3,,,,,,,,,
17,6,,5,5,,,-1,,7,2,6,,8,,6,6,,,,,,,,,,
19,8,,8,8,,,,,0,3,6,,0,,0,0,,,,,,,,,,
21,8,,0,0,,,,,12,2,0,,7,,7,7,,,,,,,,,,
23,0,,6,9,,,,,8,0,4,,0,,6,7,,,,,,,,,,
25,7,,8,5,,,,,8,3,5,,10,,9,0,,,,,,,,,,
27,6,,0,6,,,,,0,4,5,,5,,0,5,,,,,,,,,,
29,1,,10,0,,,,,8,3,0,,0,,8,6,,,,,,,,,,
31,4,,9,7,,,,,8,3,6,,5,,8,6,,,,,,,,,,
33,5,,6,5,,,,,2,0,3,,8,,4,0,,,,,,,,,,
35,5,,0,6,,,,,0,5,0,,0,,0,,,,,,,,,,,
37,5,,9,0,,,,,8,5,3,,6,,,,,,,,,,,,,
39,0,,8,4,,,,,4,4,4,,9,,,,,,,,,,,,,
41,4,,6,7,,,,,0,0,5,,4,,,,,,,,,,,,,
43,-1,,0,0,,,,,0,4,0,,,,,,,,,,,,,,,
45,,,5,2,,,,,-1,5,4,,,,,,,,,,,,,,,
47,,,5,4,,,,,,2,1,,,,,,,,,,,,,,,
49,,,0,4,,,,,,1,3,,,,,,,,,,,,,,,
51,,,5,0,,,,,,4,2,,,,,,,,,,,,,,,
53,,,4,5,,,,,,4,,,,,,,,,,,,,,,,
55,,,0,4,,,,,,0,,,,,,,,,,,,,,,,
57,,,4,0,,,,,,4,,,,,,,,,,,,,,,,
59,,,0,5,,,,,,,,,,,,,,,,,,,,,,
61,,,0,-1,,,,,,,,,,,,,,,,,,,,,,
63,,,-1,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,
