id,815a1,815a2,815a3,815a4,815a5,815a6,815a7,815a8,815a9,815a10,815a11,815a12,815a13,815a14,815a15,815a16,815a17,815a18,815a19,815a20,815a21,815a22,815a23,815a24,815a25,815a26
momid,m10,m10,815a1,815a1,m15,a2,m20,m20,m20,a2,a2,a3,a6,a4,a4,a4,a2,a2,a2,a2,a2,a6,a6,a2,a6,a2
dob,39544,39544,39552,39564,39584,39590,39596,39596,39596,39598,39604,39612,39614,39616,39620,39622,39640,39644,39644,39644,39644,39648,39648,39648,39648,39648
vial,815a1,815a2,815a2,815a3,815a1,815a1,815a1,815a4,815a5,815a6,815a4,815a2,815a1,815a2,815a2,815a3,815a5,815a7,815a8,815a10,815a12,815a7,815a8,815a9,815a10,815a11
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,2.25,2.25,2.05,1.9,2.35,2.35,2.15,2.05,2.15,2.3,2.35,2.2,2.15,2.1,2.1,1.85,2.35,1.85,1.85,1.9,1.9,2.1,2.1,2.35,2.05,2.15
3,2.75,2.7,2.55,2.95,2.7,3.1,3.4,3.4,3.3,2.7,2.85,2.4,3.5,2.75,2.95,2.95,3.4,2.1,2.2,2.15,2.45,3.35,3.45,2.95,3.3,2.9
5,4.25,4.55,2.8,4.6,2.9,-1,4.05,-1,4.1,3.55,4.2,-1,4.3,-1,3.65,4.6,4.25,-1,-1,-1,2.75,4.1,4.9,3.4,4.8,3.3
7,5.05,-1,4.1,5.1,-1,,5.45,,5.5,3.85,4.65,,5.4,,4.3,5.7,5.1,,,,3.1,5,5.8,4.35,5.45,4.2
9,5.65,,4.95,5.1,,,5.45,,5.5,4.25,5.25,,5.85,,5.7,6.2,5.05,,,,3.35,,,,,
11,5.6,,5.6,5.8,,,5.5,,5.9,4.6,5.7,,6.5,,5.8,6.1,5.45,,,,4.95,,,,,
13,6.1,,6.1,5.9,,,5.75,,6.65,4.95,6,,6.9,,6.1,6.6,5.8,,,,,,,,,
15,6.55,,6.45,6.35,,,-1,,7.05,5.15,6.5,,7,,6.6,6.75,6,,,,,,,,,
17,7.15,,7.05,6.85,,,,,7.6,5.45,6.5,,7.3,,6.9,7.35,,,,,,,,,,
19,7.3,,6.8,7.05,,,,,7.65,5.65,6.7,,7.6,,6.9,7.05,,,,,,,,,,
21,7.2,,7.25,7,,,,,7.8,5.7,7,,7.9,,7.4,7.6,,,,,,,,,,
23,7.9,,7.75,6.9,,,,,7.75,5.7,7,,7.9,,7.5,7.9,,,,,,,,,,
25,7.9,,7.75,7.2,,,,,8.15,5.7,7.1,,8.2,,7.8,8,,,,,,,,,,
27,8,,7.9,7.7,,,,,7.95,na,7.2,,8.4,,7.45,8.15,,,,,,,,,,
29,8.2,,8.15,7.6,,,,,8.4,6.25,7.3,,8.4,,8,8.5,,,,,,,,,,
31,8.2,,8.4,7.6,,,,,8.15,6.7,7.4,,8.6,,8.4,8.9,,,,,,,,,,
