id,822a1,822a2,822a3,822a4,822a5,822a6,822a7,822a8,822a9,822a10,822a11,822a12,822a13,822a14,822a15,822a16,822a17,822a18,822a19,822a20,822a21,822a22,822a23
momid,m6,m6,822a1,m18,m18,m2,a3,m11,m11,m10,a2,a4,a4,a4,m12,a2,a2,a3,a3,a3,a3,a6,a6
dob,39544,39544,39564,39582,39582,39582,39590,39598,39598,39598,39602,39638,39640,39640,39644,39648,39648,39650,39650,39650,39650,39654,39654
vial,822a1,822a2,822a3,822a1,822a2,822a3,822a1,822a1,822a4,822a5,822a4,822a2,822a3,822a4,822a6,822a1,822a7,822a8,822a9,822a11,822a12,822a1,822a5
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,,
7,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,,,,-1,,
9,0,0,2,-1,3,3,,0,,0,0,0,0,0,0,-2,,,,,,,
11,4,0,0,,5,6,,0,,3,4,3,5,4,4,,,,,,,,
13,0,2,6,,5,6,,4,,4,3,4,5,3,,,,,,,,,
15,7,5,2,,8,0,,7,,7,8,0,0,0,,,,,,,,,
17,5,5,-1,,0,9,,0,,9,7,6,,,,,,,,,,,
19,6,8,,,7,6,,7,,0,1,,,,,,,,,,,,
21,9,4,,,6,0,,8,,10,9,,,,,,,,,,,,
23,0,3,,,5,5,,10,,9,9,,,,,,,,,,,,
25,5,4,,,0,7,,0,,9,0,,,,,,,,,,,,
27,7,0,,,7,6,,9,,0,5,,,,,,,,,,,,
29,0,-1,,,5,0,,7,,8,8,,,,,,,,,,,,
31,6,,,,2,7,,5,,1,5,,,,,,,,,,,,
33,6,,,,3,6,,0,,0,0,,,,,,,,,,,,
35,5,,,,6,0,,8,,4,6,,,,,,,,,,,,
37,1,,,,7,6,,7,,6,6,,,,,,,,,,,,
39,-1,,,,1,11,,0,,0,5,,,,,,,,,,,,
41,,,,,6,0,,7,,4,-1,,,,,,,,,,,,
43,,,,,7,7,,2,,6,,,,,,,,,,,,,
45,,,,,0,9,,0,,0,,,,,,,,,,,,,
47,,,,,3,0,,5,,4,,,,,,,,,,,,,
49,,,,,5,3,,0,,6,,,,,,,,,,,,,
51,,,,,0,4,,0,,0,,,,,,,,,,,,,
53,,,,,3,0,,-1,,6,,,,,,,,,,,,,
55,,,,,3,3,,,,4,,,,,,,,,,,,,
57,,,,,0,0,,,,0,,,,,,,,,,,,,
59,,,,,-1,3,,,,-1,,,,,,,,,,,,,
61,,,,,,-1,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,
