id,822a1,822a2,822a3,822a4,822a5,822a6,822a7,822a8,822a9,822a10,822a11,822a12,822a13,822a14,822a15,822a16,822a17,822a18,822a19,822a20,822a21,822a22,822a23
momid,m6,m6,822a1,m18,m18,m2,a3,m11,m11,m10,a2,a4,a4,a4,m12,a2,a2,a3,a3,a3,a3,a6,a6
dob,39544,39544,39564,39582,39582,39582,39590,39598,39598,39598,39602,39638,39640,39640,39644,39648,39648,39650,39650,39650,39650,39654,39654
vial,822a1,822a2,822a3,822a1,822a2,822a3,822a1,822a1,822a4,822a5,822a4,822a2,822a3,822a4,822a6,822a1,822a7,822a8,822a9,822a11,822a12,822a1,822a5
age,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,2.3,2.25,1.95,2.2,2.3,2.45,2.25,2.25,2.1,2.3,2.25,2.35,1.8,1.8,2.2,2.4,2.35,2.1,2.15,2.2,2.2,2.15,2.15
3,2.8,2.65,3.05,3.1,3.75,3.8,-1,2.5,-1,2.7,3.45,2.9,2.8,2.7,2.65,3.7,3.2,2.35,2.45,-1,2.15,,
5,3.4,3.25,3.7,3.4,4.5,4.2,,3.1,,3.9,4.15,4.6,4.1,4.2,4.15,4.4,3.7,2.35,2.6,,-1,,
7,5.15,4.8,5.35,-1,5.2,5.2,,4.5,,4.65,5.9,5.1,4.8,4.9,5,-2,4.35,,,,,,
9,5.75,5.45,5.2,,5.7,5.7,,5.15,,5.2,5.85,5.7,5.6,5.7,5.7,,,,,,,,
11,5.6,5.45,5.75,,6.1,6.2,,5.75,,5.8,6.15,6.4,6,6.1,6.1,,,,,,,,
13,6.3,6.2,5.7,,6.6,6.5,,6.4,,6.1,6.8,6.75,6.2,6.5,,,,,,,,,
15,6.7,6.55,-1,,6.85,6.8,,6.4,,6.4,7,6.45,6.25,6.4,,,,,,,,,
17,6.9,7.35,,,6.65,6.8,,6.8,,6.5,7.15,7,,,,,,,,,,,
19,7.35,7.5,,,7.15,7.35,,6.9,,6.9,7.3,,,,,,,,,,,,
21,7.4,7.5,,,7.3,7.35,,7.2,,7.25,7.6,,,,,,,,,,,,
23,7.45,7.6,,,7.5,7.6,,7.5,,7.1,7.4,,,,,,,,,,,,
25,7.9,7.4,,,7.15,7.85,,7.5,,7,7.8,,,,,,,,,,,,
27,7.4,-1,,,7.4,7.9,,7.5,,7.5,8.1,,,,,,,,,,,,
29,7.75,,,,7.8,8.1,,7.8,,8,8,,,,,,,,,,,,
31,8,,,,7.6,8.2,,7.9,,7.9,8.35,,,,,,,,,,,,
33,7.45,,,,7.7,8.2,,8.15,,8,8.1,,,,,,,,,,,,
35,7.8,,,,7.5,8.5,,8.2,,8.4,8.1,,,,,,,,,,,,
37,-1,,,,8.2,8.6,,8.1,,8.5,8.2,,,,,,,,,,,,
39,,,,,8,8.7,,8.4,,8.2,-1,,,,,,,,,,,,
41,,,,,8.1,8.8,,8.3,,8.75,,,,,,,,,,,,,
43,,,,,8.3,8.8,,8.6,,8.5,,,,,,,,,,,,,
45,,,,,8.2,8.7,,8.5,,8.5,,,,,,,,,,,,,
47,,,,,8.1,8.9,,8.2,,8.9,,,,,,,,,,,,,
49,,,,,8.75,8.9,,8.05,,8.75,,,,,,,,,,,,,
51,,,,,8,9.1,,-1,,8.7,,,,,,,,,,,,,
53,,,,,8.5,9,,,,8.95,,,,,,,,,,,,,
55,,,,,8.3,8.9,,,,8.5,,,,,,,,,,,,,
57,,,,,-1,8.7,,,,-1,,,,,,,,,,,,,
59,,,,,,-1,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,
